nom,genre,canton,groupe_parlementaire,vote,parti,multiplicateur,
Lüscher Christian,Homme,ge,RL,78,Parti libéral-radical,1,
Mäder Jörg,Homme,zh,GL,12,Vert libéraux,1,
Maillard Pierre-Yves,Homme,vd,S,67,Parti socialiste,1,
Maitre Vincent,Homme,ge,M-E,106,Le Centre,1,
Marchesi Piero,Homme,ti,V,107,UDC,1,
Markwalder Christa,Femme,be,RL,140,Parti libéral-radical,1,
Marra Ada,Femme,vd,S,76,Parti socialiste,1,
Marti Min Li,Femme,zh,S,25,Parti socialiste,1,
Marti Samira,Femme,bl,S,41,Parti socialiste,1,
Martullo-Blocher Magdalena,Femme,gr,V,72,UDC,1,
Masshardt Nadine,Femme,be,S,31,Parti socialiste,1,
Matter Michel,Homme,ge,GL,119,Vert libéraux,1,
Matter Thomas,Homme,zh,V,71,UDC,1,
Mettler Melanie,Femme,be,GL,61,Vert libéraux,1,
Meyer Mattea,Femme,zh,S,19,Parti socialiste,1,
Michaud Gigon Sophie,Femme,vd,G,32,Les Vert-e-s,1,
Molina Fabian,Homme,zh,S,47,Parti socialiste,1,
de Montmollin Simone,Femme,ge,RL,114,Parti libéral-radical,1,
Moret Isabelle,Femme,vd,RL,142,Parti libéral-radical,1.99,
Moser Tiana Angelina,Femme,zh,GL,14,Vert libéraux,1,
Müller Leo,Homme,lu,M-E,116,Le Centre,1,
Müller-Altermatt Stefan,Homme,so,M-E,70,Le Centre,1,
Munz Martina,Femme,sh,S,13,Parti socialiste,1,
Nantermod Philippe,Homme,vs,RL,113,Parti libéral-radical,1,
Nicolet Jacques,Homme,vd,V,141,UDC,1,
Nidegger Yves,Homme,ge,V,68,UDC,1,
Nordmann Roger,Homme,vd,S,34,Parti socialiste,1,
Nussbaumer Eric,Homme,bl,S,71,Parti socialiste,1,
Paganini Nicolo,Homme,sg,M-E,129,Le Centre,1,
Page Pierre-André,Homme,fr,V,101,UDC,1,
Pasquier-Eichenberger Isabelle,Femme,ge,G,12,Les Vert-e-s,1,
Pfister Gerhard,Homme,zg,M-E,108,Le Centre,1,
Piller Carrard Valérie,Femme,fr,S,59,Parti socialiste,1,
Pointet François,Homme,vd,GL,81,Vert libéraux,1,
Porchet Léonore,Femme,vd,G,36,Les Vert-e-s,1,
Portmann Hans-Peter,Homme,zh,RL,125,Parti libéral-radical,1,
Prelicz-Huber Katharina,Femme,zh,G,35,Les Vert-e-s,1,
Prezioso Batou Stefania,Femme,ge,G,187,Ensemble à Gauche,1,
Pult Jon,Homme,gr,S,16,Parti socialiste,1,
Python Valentine,Femme,vd,G,25,Les Vert-e-s,1,
Quadri Lorenzo,Homme,ti,V,201,Lega,1,
de Quattro Jacqueline,Femme,vd,RL,172,Parti libéral-radical,1,
Rechsteiner Thomas,Homme,ai,M-E,211,Le Centre,1,
Regazzi Fabio,Homme,ti,M-E,255,Le Centre,1,
Reimann Lukas,Homme,sg,V,162,UDC,1,
Riniker Maja,Femme,ag,RL,40,Parti libéral-radical,1,
Ritter Markus,Homme,sg,M-E,109,Le Centre,1,
Roduit Benjamin,Homme,vs,M-E,149,Le Centre,1,
Romano Marco,Homme,ti,M-E,72,Le Centre,1,
Rösti Albert,Homme,be,V,49,UDC,1,
Roth Franziska,Femme,so,S,32,Parti socialiste,1,
Roth Pasquier Marie-France,Femme,fr,M-E,174,Le Centre,1,
Rüegger Monika,Femme,ow,V,71,UDC,1,
Rutz Gregor,Homme,zh,V,45,UDC,1,
Ryser Franziska,Femme,sg,G,23,Les Vert-e-s,1,
Rytz Regula,Femme,be,G,27,Les Vert-e-s,1,
Sauter Regine,Femme,zh,RL,86,Parti libéral-radical,1,
Schaffner Barbara,Femme,zh,GL,27,Vert libéraux,1,
